Sector,Profit,Revenue,Employees,Companies
Financials,232777,2125215,3147085,75
Technology,165433,1139671,2814815,41
Energy,116361,2003712,1137078,69
Health Care,95520,999494,1828429,38
"Food, Beverages & Tobacco",43854,537748,1081770,25
Retailing,43103,1344307,5534684,46
Telecommunications,31135,445223,773098,11
Aerospace & Defense,25864,328517,875576,11
Household Products,24937,233955,582827,14
Transportation,24132,354827,1228579,18
Media,22864,183356,421065,11
Industrials,21469,267088,794676,14
Chemicals,20203,224721,404818,14
Business Services,16603,160547,640455,16
Motor Vehicles & Parts,14191,474802,1040700,14
"Hotels, Resturants & Leisure",11391,140267,1809594,12
Food & Drug Stores,11162,449780,1280670,8
Wholesalers,9086,748319,501534,28
Materials,7004,199885,391241,19
Apparel,5361,61097,220047,5
Engineering & Construction,2088,100666,284603,11
