Year,Time Period,County,Sales (Millions)
1995,Annual,Adams,$640.00
1995,Annual,Alexander,$37.00
1995,Annual,Bond,$79.00
1995,Annual,Boone,$222.00
1995,Annual,Brown,$19.00
1995,Annual,Bureau,$216.00
1995,Annual,Calhoun,$23.00
1995,Annual,Carroll,$90.00
1995,Annual,Cass,$79.00
1995,Annual,Champaign,$1629.00
1995,Annual,Christian,$254.00
1995,Annual,Clark,$97.00
1995,Annual,Clay,$77.00
1995,Annual,Clinton,$254.00
1995,Annual,Coles,$491.00
1995,Annual,Cook,$43083.00
1995,Annual,Crawford,$130.00
1995,Annual,Cumberland,$37.00
1995,Annual,DeKalb,$606.00
1995,Annual,DeWitt,$116.00
1995,Annual,Douglas,$173.00
1995,Annual,DuPage,$12441.00
1995,Annual,Edgar,$106.00
1995,Annual,Edwards,$38.00
1995,Annual,Effingham,$449.00
1995,Annual,Fayette,$125.00
1995,Annual,Ford,$104.00
1995,Annual,Franklin,$266.00
1995,Annual,Fulton,$205.00
1995,Annual,Gallatin,$24.00
1995,Annual,Greene,$56.00
1995,Annual,Grundy,$297.00
1995,Annual,Hamilton,$38.00
1995,Annual,Hancock,$91.00
1995,Annual,Hardin,$12.00
1995,Annual,Henderson,$29.00
1995,Annual,Henry,$346.00
1995,Annual,Iroquois,$176.00
1995,Annual,Jackson,$492.00
1995,Annual,Jasper,$52.00
1995,Annual,Jefferson,$405.00
1995,Annual,Jersey,$142.00
1995,Annual,Jo Daviess,$159.00
1995,Annual,Johnson,$42.00
1995,Annual,Kane,$3313.00
1995,Annual,Kankakee,$859.00
1995,Annual,Kendall,$377.00
1995,Annual,Knox,$464.00
1995,Annual,Lake,$6481.00
1995,Annual,LaSalle,$971.00
1995,Annual,Lawrence,$79.00
1995,Annual,Lee,$211.00
1995,Annual,Livingston,$317.00
1995,Annual,Logan,$198.00
1995,Annual,McDonough,$234.00
1995,Annual,McHenry,$1830.00
1995,Annual,McLean,$1452.00
1995,Annual,Macon,$1112.00
1995,Annual,Macoupin,$355.00
1995,Annual,Madison,$1956.00
1995,Annual,Marion,$274.00
1995,Annual,Marshall,$50.00
1995,Annual,Mason,$74.00
1995,Annual,Massac,$83.00
1995,Annual,Menard,$45.00
1995,Annual,Mercer,$73.00
1995,Annual,Monroe,$169.00
1995,Annual,Montgomery,$223.00
1995,Annual,Morgan,$297.00
1995,Annual,Moultrie,$74.00
1995,Annual,Ogle,$296.00
1995,Annual,Peoria,$1963.00
1995,Annual,Perry,$150.00
1995,Annual,Piatt,$68.00
1995,Annual,Pike,$98.00
1995,Annual,Pope,$13.00
1995,Annual,Pulaski,$21.00
1995,Annual,Putnam,$20.00
1995,Annual,Randolph,$220.00
1995,Annual,Richland,$131.00
1995,Annual,Rock Island,$1276.00
1995,Annual,St. Clair,$2101.00
1995,Annual,Saline,$226.00
1995,Annual,Sangamon,$2031.00
1995,Annual,Schuyler,$48.00
1995,Annual,Scott,$19.00
1995,Annual,Shelby,$95.00
1995,Annual,Stark,$22.00
1995,Annual,Stephenson,$388.00
1995,Annual,Tazewell,$1122.00
1995,Annual,Union,$99.00
1995,Annual,Vermilion,$591.00
1995,Annual,Wabash,$88.00
1995,Annual,Warren,$108.00
1995,Annual,Washington,$174.00
1995,Annual,Wayne,$99.00
1995,Annual,White,$96.00
1995,Annual,Whiteside,$436.00
1995,Annual,Will,$3015.00
1995,Annual,Williamson,$621.00
1995,Annual,Winnebago,$2711.00
1995,Annual,Woodford,$204.00
1995,Fourth Quarter,Adams,$183.00
1995,Fourth Quarter,Alexander,$9.00
1995,Fourth Quarter,Bond,$20.00
1995,Fourth Quarter,Boone,$62.00
1995,Fourth Quarter,Brown,$5.00
1995,Fourth Quarter,Bureau,$57.00
1995,Fourth Quarter,Calhoun,$6.00
1995,Fourth Quarter,Carroll,$23.00
1995,Fourth Quarter,Cass,$21.00
1995,Fourth Quarter,Champaign,$439.00
1995,Fourth Quarter,Christian,$64.00
1995,Fourth Quarter,Clark,$26.00
1995,Fourth Quarter,Clay,$20.00
1995,Fourth Quarter,Clinton,$69.00
1995,Fourth Quarter,Coles,$130.00
1995,Fourth Quarter,Cook,$11547.00
1995,Fourth Quarter,Crawford,$34.00
1995,Fourth Quarter,Cumberland,$9.00
1995,Fourth Quarter,DeKalb,$160.00
1995,Fourth Quarter,DeWitt,$28.00
1995,Fourth Quarter,Douglas,$47.00
1995,Fourth Quarter,DuPage,$3412.00
1995,Fourth Quarter,Edgar,$27.00
1995,Fourth Quarter,Edwards,$10.00
1995,Fourth Quarter,Effingham,$115.00
1995,Fourth Quarter,Fayette,$32.00
1995,Fourth Quarter,Ford,$29.00
1995,Fourth Quarter,Franklin,$69.00
1995,Fourth Quarter,Fulton,$55.00
1995,Fourth Quarter,Gallatin,$6.00
1995,Fourth Quarter,Greene,$15.00
1995,Fourth Quarter,Grundy,$75.00
1995,Fourth Quarter,Hamilton,$10.00
1995,Fourth Quarter,Hancock,$22.00
1995,Fourth Quarter,Hardin,$3.00
1995,Fourth Quarter,Henderson,$7.00
1995,Fourth Quarter,Henry,$91.00
1995,Fourth Quarter,Iroquois,$45.00
1995,Fourth Quarter,Jackson,$138.00
1995,Fourth Quarter,Jasper,$14.00
1995,Fourth Quarter,Jefferson,$111.00
1995,Fourth Quarter,Jersey,$37.00
1995,Fourth Quarter,Jo Daviess,$42.00
1995,Fourth Quarter,Johnson,$10.00
1995,Fourth Quarter,Kane,$903.00
1995,Fourth Quarter,Kankakee,$233.00
1995,Fourth Quarter,Kendall,$96.00
1995,Fourth Quarter,Knox,$126.00
1995,Fourth Quarter,Lake,$1702.00
1995,Fourth Quarter,LaSalle,$254.00
1995,Fourth Quarter,Lawrence,$19.00
1995,Fourth Quarter,Lee,$57.00
1995,Fourth Quarter,Livingston,$88.00
1995,Fourth Quarter,Logan,$52.00
1995,Fourth Quarter,McDonough,$63.00
1995,Fourth Quarter,McHenry,$487.00
1995,Fourth Quarter,McLean,$404.00
1995,Fourth Quarter,Macon,$289.00
1995,Fourth Quarter,Macoupin,$90.00
1995,Fourth Quarter,Madison,$500.00
1995,Fourth Quarter,Marion,$71.00
1995,Fourth Quarter,Marshall,$13.00
1995,Fourth Quarter,Mason,$18.00
1995,Fourth Quarter,Massac,$21.00
